"Borough.Code","Block.Number","Lot.Number","Tax.Year","Owner.Name","Property.Address","Granted.Reduction.Amount","Tax.Class.Code","FULLVAL","tax_saved","percent_red","boroughs"
1,1883,57,2018,"THE TRUSTEES OF COLUM","540 WEST 112 STREET",105850,"2",2293000,13349.802,0.0461622328826864,"Manhattan"
1,385,56,2018,"226-8 EAST 2ND STREET","228 EAST 2 STREET",240500,"2",4610000,30331.86,0.0521691973969631,"Manhattan"
3,1156,62,2018,"CRESPA, LLC","597 PROSPECT PLACE",23500,"2",1230000,2963.82,0.0191056910569106,"Brooklyn"
2,5560,1,2018,"CIMINELLO PROPERTY AS","775 BRUSH AVENUE",329300,"4",4154000,34622.602,0.0792729898892634,"Bronx"
1,1390,56,2018,"PHOENIX MADISON AVENU","962 MADISON AVENUE",584850,"4",17323000,61491.129,0.0337614731859378,"Manhattan"
1,386,36,2018,"300 EAST 4TH STREET H","300 EAST 4 STREET",316200,"2",4436000,39879.144,0.0712804328223625,"Manhattan"
1,787,65,2018,"242 WEST 38TH STREET","242 WEST 38 STREET",483950,"4",9631000,50882.503,0.0502491953068217,"Manhattan"
4,9578,3,2018,"124-469 LIBERTY LLC","124-04 LIBERTY AVENUE",70850,"4",813000,7449.169,0.0871463714637146,"Queens"
4,3829,44,2018,"JOHN GAUDINO","79-27 MYRTLE AVENUE",35100,"4",478000,3690.414,0.0734309623430962,"Queens"
3,3495,40,2018,"PITKIN BLUE LLC","1575 PITKIN AVENUE",49200,"4",483000,5172.888,0.101863354037267,"Brooklyn"
1,2122,100,2018,"GVS PROPERTIES LLC","559 WEST 164 STREET",233748,"2",4157000,29480.29776,0.0562299735386096,"Manhattan"
2,2938,14,2018,"CROTONA PARK DEVELOPM","1432 CROTONA PARK EAS",68500,"2",1330000,8639.22,0.0515037593984962,"Bronx"
1,1231,59,2018,"268 WEST 84TH STREET","268 WEST 84 STREET",85350,"2",3783000,10764.342,0.0225614591593973,"Manhattan"
3,7435,38,2018,"BANK OF AMERICA","1415 AVENUE Z",291950,"4",2111000,30695.623,0.138299384178115,"Brooklyn"
3,1034,39,2018,"4710 REALTY CORP.","520 5 AVENUE",129750,"4",1195000,13641.915,0.108577405857741,"Brooklyn"
3,7947,17,2018,"BABY DOVE INC.","925 EAST 51 STREET",45200,"4",502000,4752.328,0.0900398406374502,"Brooklyn"
4,370,1,2018,"37-33 28TH REALTY COR","37-33 28 STREET",298100,"2",2878000,37596.372,0.103578874218207,"Queens"
1,389,22,2018,"208-10 EAST 7TH LLC","208 EAST 7 STREET",83400,"2",5729000,10518.408,0.0145575144004189,"Manhattan"
4,3239,1001,2018,"BROTHERS PRUDENTIAL","107-36 QUEENS BOULEVA",85773,"4",3297677,9018.17322,0.0260101277353725,"Queens"
3,140,1103,2018,"BROOKLYN RENAISSANCE","350 JAY STREET",2097090,"4",38371321,220488.0426,0.0546525359395367,"Brooklyn"
1,1543,1001,2018,"EAST WINDS COMPANY","345 EAST 80 STREET",275752,"4",4401670,28992.56528,0.0626471316568484,"Manhattan"
4,659,79,2018,"BESCO 38TH STREET, LL","30-78 38 STREET",81200,"2",2416000,10240.944,0.0336092715231788,"Queens"
1,822,1301,2018,"20TH STREET RETAIL OW","15 WEST 20 STREET",155250,"4",2145000,16322.985,0.0723776223776224,"Manhattan"
1,2091,22,2018,"144 ST LLC","617 WEST 144 STREET",74800,"2",1564000,9433.776,0.0478260869565217,"Manhattan"
3,7949,223,2018,"5433 PRESTON COURT LL","5333 PRESTON COURT",247700,"4",3606000,26043.178,0.0686910704381586,"Brooklyn"
1,471,25,2018,"SPLIT RAIL HOLDINGS L","176 GRAND STREET",457950,"4",10711000,48148.863,0.0427551115675474,"Manhattan"
3,1429,17,2018,"LEFFERTS 750 LLC","750 LEFFERTS AVENUE",184850,"2",4133000,23313.282,0.0447253810791193,"Brooklyn"
1,765,52,2018,"214 WEST 16TH STREET","214 WEST 16 STREET",58500,"2",2490000,7378.02,0.0234939759036145,"Manhattan"
